name,url,price,description,brand,category,subcategory,rating,reviews,trending,tags
"Medicube One Day Exosome Shot 2000 Serum","https://www.amazon.com/Medicube-One-Day-Exosome-2000/dp/B0D137TMRB?tag=1mlaffiliates-20",89.99,"Revolutionary K-beauty serum with 2000ppm exosomes for intensive skin regeneration and anti-aging.","Medicube","K-Beauty","Serums",4.8,2847,true,"anti-aging,k-beauty,exosomes"
"BRUUN SD Salmon DNA PDRN Ampoule","https://www.amazon.com/BR%C3%9CUN-SD-Control-Needling-Microneedling/dp/B08ZYXPGZJ?tag=1mlaffiliates-20",79.99,"Advanced salmon DNA PDRN ampoule for skin repair, regeneration, and anti-inflammatory benefits.","BRUUN SD","K-Beauty","Ampoules",4.7,1923,true,"salmon-dna,pdrn,skin-repair"
"TOSOWOONG Pink Peptide 12 PDRN Serum","https://www.amazon.com/TOSOWOONG-Peptides-Niacinamide-Hydrating-Moisturizing/dp/B0DRJX22GS?tag=1mlaffiliates-20",69.99,"12-peptide complex with PDRN and niacinamide for comprehensive anti-aging and skin barrier repair.","TOSOWOONG","K-Beauty","Serums",4.6,1456,true,"peptides,anti-aging,barrier-repair"
"Medicube Collagen Overnight Wrapping Mask","https://www.amazon.com/Medicube-Collagen-Wrapping-Elasticity-Hydration/dp/B0BRMYHMS5?tag=1mlaffiliates-20",59.99,"Overnight collagen mask that wraps skin in intensive hydration and anti-aging benefits while you sleep.","Medicube","K-Beauty","Masks",4.9,3421,true,"collagen,overnight,hydration"
"100 Dalton Ultra-Low Bio Collagen Gel Mask","https://www.amazon.com/Korean-Collagen-Face-Mask-Overnight/dp/B0DWFYGN33?tag=1mlaffiliates-20",49.99,"Ultra-low molecular weight collagen gel mask for deep penetration and maximum anti-aging results.","K-Beauty Lab","K-Beauty","Masks",4.5,987,true,"collagen,anti-aging,gel-mask"
"Medicube Zero Exosome Shot Duo","https://www.amazon.com/medicube-Zero-Exosome-Shot-2000/dp/B0DM4Y4HFF?tag=1mlaffiliates-20",119.99,"Dual-action exosome treatment combining regenerative and brightening benefits for complete skin transformation.","Medicube","K-Beauty","Serums",4.9,1876,true,"exosome,dual-action,brightening"
"Fastaid 7-in-1 LED Face & Neck Massager","https://www.amazon.com/Fastaid-Red-Light-Therapy-Face-Therapy-Massager/dp/B0C46HHJJZ?tag=1mlaffiliates-20",199.99,"Advanced LED light therapy device with 7 treatment modes for face and neck rejuvenation.","Fastaid","Wellness","LED Devices",4.6,2341,true,"led-therapy,anti-aging,massage"
"Anyork LED Facial Roller Massager","https://www.amazon.com/Facial-Massage-Dual-Head-Therapy-Electric/dp/B0DTFBSP1S?tag=1mlaffiliates-20",89.99,"Dual-head LED facial roller with red light therapy for lymphatic drainage and skin tightening.","Anyork","Wellness","LED Devices",4.4,1567,true,"led-roller,lymphatic-drainage,massage"
"Medicube Salmon DNA PDRN Pink One Day Serum","https://www.amazon.com/medicube-Intensive-Collagen-Glutathione-Hyaluronic/dp/B0DBF65JYY?tag=1mlaffiliates-20",94.99,"Intensive salmon DNA serum with collagen, glutathione, and hyaluronic acid for ultimate skin repair.","Medicube","K-Beauty","Serums",4.8,2156,true,"salmon-dna,collagen,glutathione"
"Medicube Kojic Acid Turmeric Wrapping Mask","https://www.amazon.com/medicube-Kojic-Turmeric-Overnight-Wrapping/dp/B0DRNR67MJ?tag=1mlaffiliates-20",64.99,"Overnight wrapping mask with kojic acid and turmeric for brightening and evening skin tone.","Medicube","K-Beauty","Masks",4.7,1789,true,"kojic-acid,turmeric,brightening"
